Column	NA_Count
MISTRALNEMO_12b_t00_rtgs_Rating	2139
MISTRALNEMO_12b_t02_rtgs_Rating	2128
Ministral_8b_t00_rtgs_Rating	2075
MISTRALNEMO_12b_t05_rtgs_Rating	2024
Ministral_8b_t02_rtgs_Rating	1709
Ministral_8b_t05_rtgs_Rating	1140
SK3_8b_t05_rtgs_Rating	809
QWEN2.5_14b_t05_rtgs_Rating	694
QWEN2.5_14b_t00_rtgs_Rating	691
QWEN2.5_14b_t02_rtgs_Rating	653
SK3_8b_t02_rtgs_Rating	469
SKLM_7b_t05_rtgs_Rating	444
SK3_8b_t00_rtgs_Rating	405
ML3.2_3b_t05_rtgs_Rating	344
ML3.2_3b_t02_rtgs_Rating	336
ML3_70b_t02_rtgs_Rating	307
ML3_70b_t05_rtgs_Rating	303
ML3.2_3b_t00_rtgs_Rating	256
ML3_70b_t00_rtgs_Rating	217
SKLM_7b_t02_rtgs_Rating	193
SKv2_14b_t05_rtgs_Rating	176
ML3.1_8b_t05_rtgs_Rating	103
EMG_70b_t05_rtgs_Rating	95
PHI3_14b_t05_rtgs_Rating	86
SKv2_14b_t02_rtgs_Rating	67
PHI3_14b_t02_rtgs_Rating	55
GRAN_8b_t05_rtgs_Rating	47
ML3.1_8b_t02_rtgs_Rating	41
SKv2_14b_t00_rtgs_Rating	39
DL3_8b_t05_rtgs_Rating	35
ML3.1_8b_t00_rtgs_Rating	21
EMG_70b_t02_rtgs_Rating	14
EGLM_7b_t05_rtgs_Rating	9
SKLM_7b_t00_rtgs_Rating	6
KFK3_8b_t05_rtgs_Rating	5
KFK3_8b_t02_rtgs_Rating	3
GEMMA2_9b_t05_rtgs_Rating	2
MIX_8x7b_t05_rtgs_Rating	2
ML3_8b_t05_rtgs_Rating	1
Human_Rating	0
DL3_8b_t00_rtgs_Rating	0
DL3_8b_t02_rtgs_Rating	0
EGLM_7b_t00_rtgs_Rating	0
EGLM_7b_t02_rtgs_Rating	0
EMG_70b_t00_rtgs_Rating	0
GEMMA2_9b_t00_rtgs_Rating	0
GEMMA2_9b_t02_rtgs_Rating	0
GPT4_t05_rtgs_Rating	0
GRAN_8b_t00_rtgs_Rating	0
GRAN_8b_t02_rtgs_Rating	0
GRAN_MoE_3b_t00_rtgs_Rating	0
GRAN_MoE_3b_t02_rtgs_Rating	0
GRAN_MoE_3b_t05_rtgs_Rating	0
KFK3_8b_t00_rtgs_Rating	0
MIX_8x7b_t00_rtgs_Rating	0
MIX_8x7b_t02_rtgs_Rating	0
ML3_8b_t00_rtgs_Rating	0
ML3_8b_t02_rtgs_Rating	0
OC3.6_8b_t00_rtgs_Rating	0
OC3.6_8b_t02_rtgs_Rating	0
OC3.6_8b_t05_rtgs_Rating	0
PHI3_14b_t00_rtgs_Rating	0
SK3_70b_t00_rtgs_Rating	0
SK3_70b_t02_rtgs_Rating	0
SK3_70b_t05_rtgs_Rating	0
SKGEMMA2_9b_t00_rtgs_Rating	0
SKGEMMA2_9b_t02_rtgs_Rating	0
SKGEMMA2_9b_t05_rtgs_Rating	0
