Model	NA_Count
SK3_8b_t05_comp_Antecedens	952
SK3_8b_t02_comp_Antecedens	932
SK3_8b_t00_comp_Antecedens	920
QWEN2.5_14b_t00_comp_Antecedens	575
QWEN2.5_14b_t02_comp_Antecedens	525
QWEN2.5_14b_t05_comp_Antecedens	455
GRAN_MoE_3b_t00_comp_Antecedens	339
GRAN_MoE_3b_t02_comp_Antecedens	322
GRAN_MoE_3b_t05_comp_Antecedens	303
PHI3_14b_t05_comp_Antecedens	209
ML3.2_3b_t05_comp_Antecedens	152
ML3.1_8b_t05_comp_Antecedens	149
ML3.1_8b_t02_comp_Antecedens	117
DL3_8b_t05_comp_Antecedens	101
EMG_70b_t05_comp_Antecedens	96
GEMMA2_9b_t02_comp_Antecedens	84
PHI3_14b_t02_comp_Antecedens	81
GEMMA2_9b_t00_comp_Antecedens	80
OC3.6_8b_t05_comp_Antecedens	79
OC3.6_8b_t02_comp_Antecedens	75
GPT4_t05_comp_Antecedens	72
OC3.6_8b_t00_comp_Antecedens	72
GRAN_8b_t02_comp_Antecedens	70
KFK3_8b_t05_comp_Antecedens	70
GEMMA2_9b_t05_comp_Antecedens	67
ML3_8b_t05_comp_Antecedens	65
PHI3_14b_t00_comp_Antecedens	64
GRAN_8b_t05_comp_Antecedens	61
Ministral_8b_t00_comp_Antecedens	59
Ministral_8b_t05_comp_Antecedens	59
GRAN_8b_t00_comp_Antecedens	58
Human_Antecedens	57
EMG_70b_t02_comp_Antecedens	55
SKv2_14b_t05_comp_Antecedens	47
Ministral_8b_t02_comp_Antecedens	44
ML3.2_3b_t02_comp_Antecedens	42
MISTRALNEMO_12b_t05_comp_Antecedens	41
EMG_70b_t00_comp_Antecedens	34
KFK3_8b_t02_comp_Antecedens	33
DL3_8b_t02_comp_Antecedens	32
ML3.1_8b_t00_comp_Antecedens	29
EGLM_7b_t00_comp_Antecedens	28
EGLM_7b_t02_comp_Antecedens	28
EGLM_7b_t05_comp_Antecedens	24
ML3_8b_t02_comp_Antecedens	24
ML3.2_3b_t00_comp_Antecedens	24
SKLM_7b_t05_comp_Antecedens	24
SKv2_14b_t02_comp_Antecedens	21
DL3_8b_t00_comp_Antecedens	19
SKv2_14b_t00_comp_Antecedens	18
KFK3_8b_t00_comp_Antecedens	16
ML3_8b_t00_comp_Antecedens	13
SKGEMMA2_9b_t05_comp_Antecedens	12
MISTRALNEMO_12b_t02_comp_Antecedens	5
SKLM_7b_t00_comp_Antecedens	5
SKLM_7b_t02_comp_Antecedens	5
MIX_8x7b_t05_comp_Antecedens	3
SK3_70b_t05_comp_Antecedens	2
ML3_70b_t05_comp_Antecedens	1
MISTRALNEMO_12b_t00_comp_Antecedens	0
MIX_8x7b_t00_comp_Antecedens	0
MIX_8x7b_t02_comp_Antecedens	0
ML3_70b_t00_comp_Antecedens	0
ML3_70b_t02_comp_Antecedens	0
SK3_70b_t00_comp_Antecedens	0
SK3_70b_t02_comp_Antecedens	0
SKGEMMA2_9b_t00_comp_Antecedens	0
SKGEMMA2_9b_t02_comp_Antecedens	0
