average_ratings$REP	average_ratings$AntecedentE	Human_Rating	EGLM_7b_t00_rtgs_Rating	EGLM_7b_t02_rtgs_Rating	EGLM_7b_t05_rtgs_Rating	EMG_70b_t00_rtgs_Rating	EMG_70b_t02_rtgs_Rating	EMG_70b_t05_rtgs_Rating	GPT4_t05_rtgs_Rating	MIX_8x7b_t00_rtgs_Rating	MIX_8x7b_t02_rtgs_Rating	MIX_8x7b_t05_rtgs_Rating	SKLM_7b_t00_rtgs_Rating	SKLM_7b_t02_rtgs_Rating	SKLM_7b_t05_rtgs_Rating
1	Der	NP1	-1.63977324044153	-0.892271050638997	-1.91363286381633	-0.957794295280794	NA	-0.168079265978837	0.716205311981361	-1.58889897799034	-0.92731594104229	-0.769672895173557	-0.951283191397365	-0.853836860527202	-0.598076070734468	-1.62092625143714
2	Die	NP1	-1.49517758401392	0.723320319157078	1.22806150470912	1.03551615659304	NA	-1.56894619021738	-1.72153362677261	-1.36502832335962	-1.16878699983088	-1.2433900548957	-1.27049060053802	0.133966842010879	-0.85373362244569	-0.941684874648526
3	Diese	NP1	0.768907852405705	0.723320319157078	0.406526483054483	-0.492143902834853	NA	-1.01274305420003	-1.20391570240113	-1.64966386996154	-2.859084411351	-2.86192368394637	-2.78672579395613	0.133966842010879	0.865024375805642	-0.58556953264602
4	Dieser	NP1	0.729434900220007	-0.892271050638997	-1.08306998478085	-1.05582595684836	NA	0.0669922599883807	0.457501343289407	-1.898053691528	-0.685844882253702	-0.67944105522648	-0.755278641925031	-0.853836860527202	-0.444065497414457	-0.322500954587165
5	Er	NP1	-1.68298573546587	-0.892271050638997	-1.40807285049038	-0.631022090055569	NA	-0.121861813415791	0.0921239849095367	0.274557709126297	0.0385682941120661	0.256714284224427	0.202343585496933	-0.853836860527202	-0.482054772166725	-0.979749459898197
6	Sie	NP1	-1.85246279457152	-0.98730583709759	-0.307736350898641	0.555449343328353	NA	-0.768999896666722	-0.806175643583284	0.690568331765002	0.677756390905391	0.563237152279936	0.595505652379669	0.192072942160178	1.05080340464186	0.596323399949402
7	Der	NP2	-0.211683380838985	0.723320319157078	1.39733383059949	-0.480911108280246	NA	-0.0698671792823641	-0.392972204761323	0.299876414114295	0.310223235249229	0.191155213012879	0.379447696270146	-0.853836860527202	-0.856300465334354	-0.321760809873976
8	Die	NP2	0.0571481987836064	0.723320319157078	1.95029009517473	1.5583516849534	NA	0.144286965136924	-0.0834251367028609	-0.692883334099302	-0.92731594104229	-0.92757861508094	-0.702077407068255	0.133966842010879	-0.539552052872867	0.0217720720043278
9	Diese	NP2	0.63719284353343	0.723320319157078	0.758612920906464	1.36228836181827	NA	0.730770501109374	1.07360316483339	-0.157725864458255	-0.202902764676522	-0.217002875497719	-0.248466878289432	1.12177054454897	0.911740916379381	0.234087869730285
10	Dieser	NP2	0.572520749735688	0.723320319157078	-0.0209691164490591	0.814944918066026	NA	-0.213827981700473	-0.621189459705768	0.841257738789544	0.677756390905391	0.709532157488245	0.516939122885296	-0.853836860527202	-0.87777135114426	0.593636488049425
11	Er	NP2	-0.209263676649273	0.723320319157078	0.39006391959533	0.339203031046948	NA	-0.853372528120559	-1.18037245544129	0.79328545565439	0.93343162962272	0.969280432041775	1.0906230269291	-0.853836860527202	-1.01801156732036	0.0831232270537987
12	Sie	NP2	-0.251571837784531	0.723320319157078	0.578055773290068	0.545357848755216	NA	-0.0868002976783076	0.49298914418952	0.276156785230803	0.280039352900654	0.0931690743203539	0.235944365406476	1.12177054454897	1.54369763556916	0.393113248106697
13	Der	NP3	0.995357946523652	0.723320319157078	-0.505287112408354	0.0470302357867675	NA	2.11490352010957	1.10258136911869	0.441927674731167	1.00445252926642	1.03496390376795	1.22156724275306	1.61567239581801	0.850136687051377	0.33220991170722
14	Die	NP3	1.10422019360421	-0.892271050638997	-1.03793069787675	-1.57049218007807	NA	-0.482039202355393	-0.695747192470504	0.386493036441656	0.280039352900654	0.425898984125193	0.289145600263252	-0.853836860527202	-0.86759457404449	-0.411318320169739
15	Diese	NP3	0.733589947818502	-2.50786242043507	-0.396952823838511	1.09270129250746	NA	0.00404090218699008	0.351037940589065	1.31235810095012	0.762981470477834	0.707873483959805	0.633553594336064	-0.853836860527202	-1.15148739753104	0.541988070416535
16	Dieser	NP3	0.731927928779105	0.723320319157078	0.253052907580542	0.463664797448915	NA	2.01928120446189	2.32974532450488	0.841696700857447	1.00445252926642	1.07585020624397	0.949960938484255	1.61567239581801	1.86249952234159	2.44690909224464
17	Er	NP3	0.469744425314105	0.723320319157078	-0.144172817175562	-1.19470414406907	NA	1.29812957395229	0.599452546889862	0.251104592926889	0.762981470477834	0.719152463953188	0.788957201417697	1.61567239581801	1.05497074956699	1.46822631149193
18	Sie	NP3	0.542873263047608	-0.892271050638997	-0.144172817175562	-1.43161399285736	NA	-1.03186751732957	-0.50990870846695	0.942971520809439	0.0385682941120661	-0.0478181755969525	-0.18966551344773	-0.853836860527202	-0.450225920347258	-1.5278794874935
