ID_100133	Der Mieter will den Maler bezahlen. Der ist	Der ist letzte Woche verschwunden.	"Auf was bezieht sich das ""Der"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Maler"""	1
ID_100151	Der Auszubildende soll den Buchhalter sehen. Dieser hat	Dieser hat ein wichtiges Meeting verpasst.	"Auf was bezieht sich das ""Dieser"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Buchhalter"""	1
ID_100061	Den Reiseleiter will der Busfahrer wecken. Dieser ist	Dieser ist eingeschlafen.	"Auf was bezieht sich das ""Dieser"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Reiseleiter"""	1
ID_100157	Der Trainer will den Sieger ehren. Dieser hat	Dieser hat ein wichtiges Spiel gewonnen.	"Auf was bezieht sich das ""Dieser"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Sieger"""	1
ID_100037	Den Chef will der Sekretär stören. Dieser ist	Dieser ist gerade in einem wichtigen Gespräch.	"Auf was bezieht sich das ""Dieser"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Chef"""	1
ID_100205	Der Babysitter will den Jungen tadeln. Er hat	Er hat das Spielzeug im Wohnzimmer verstreut.	"Auf was bezieht sich das ""Er"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Jungen"""	1
ID_100127	Der Bäckermeister will den Unruhestifter melden. Der ist	Der ist in der Bäckerei herumgeschlichen und hat die Kunden erschreckt.	"Auf was bezieht sich das ""Der"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Unruhestifter"""	1
ID_100019	Den Raser will der Polizist prüfen. Der hat	Der hat einen Unfall verursacht.	"Auf was bezieht sich das ""Der"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Raser"""	1
ID_100121	Der Sanitäter muss den Verletzten tragen. Der ist	Der ist von einem Auto angefahren worden.	"Auf was bezieht sich das ""Der"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Verletzten"""	1
ID_100025	Den Direktor will der Schüler begrüßen. Der hat	einen neuen Computer gekauft.	"Auf was bezieht sich das ""Der"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Direktor"""	1
ID_100211	Der Regisseur will den Schauspieler unterstützen. Er hat	Er hat eine schwierige Rolle zu spielen.	"Auf was bezieht sich das ""Er"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Schauspieler"""	1
ID_100145	Der Pfleger soll den Opa baden. Dieser hat	Dieser hat sich beim Fußballspielen verletzt.	"Auf was bezieht sich das ""Dieser"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Opa"""	1
ID_100001	Den Professor soll der Doktorand vertreten. Der hat	eine wichtige Konferenz in London.	"Auf was bezieht sich das ""Der"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Professor"""	1
ID_100079	Den Anfänger will der Fahrer überholen. Er ist	Er ist mit hoher Geschwindigkeit unterwegs.	"Auf was bezieht sich das ""Er"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Anfänger"""	1
ID_100163	Der Lehrer will den Klassensprecher loben. Dieser hat	Dieser hat das Problem mit dem Mobbing in der Schule gelöst.	"Auf was bezieht sich das ""Dieser"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Klassensprecher"""	1
ID_100181	Der Vater will den Sohn küssen. Er hat	Er hat den Sohn lange nicht gesehen.	"Auf was bezieht sich das ""Er"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Vater"""	1
ID_100193	Der Student will den Dozenten treffen. Er hat	Er hat eine Frage zu seinem Forschungsprojekt.	"Auf was bezieht sich das ""Er"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Studenten"""	1
ID_100109	Der Soldat will den Kameraden überraschen. Der ist	Der ist gerade in den Hinterhalt getappt.	"Auf was bezieht sich das ""Der"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Kameraden"""	1
ID_100169	Der Vorgesetzte will den Assistenten suchen. Dieser hat	Dieser hat sich verirrt.	"Auf was bezieht sich das ""Dieser"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Assistenten"""	1
ID_100115	Der Pförtner soll den Hausmeister benachrichtigen. Der ist	Der ist gerade dabei, die Heizung zu reparieren.	"Auf was bezieht sich das ""Der"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Hausmeister"""	1
ID_100073	Den Kranken soll der Samariter pflegen. Er ist	Er ist von einem Auto angefahren worden.	"Auf was bezieht sich das ""Er"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Kranken"""	1
ID_100049	Den Ordnungshüter soll der Passant informieren. Dieser ist	Dieser ist vor wenigen Minuten in einen Hinterhalt geraten.	"Auf was bezieht sich das ""Dieser"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Ordnungshüter"""	1
ID_100031	Den Clown will der Komödiant einladen. Der hat	Der hat einen großen Schnurrbart und ein rotes Nasenkostüm.	"Auf was bezieht sich das ""Der"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Clown"""	1
ID_100085	Den Gast soll der Kellner bedienen. Er ist	Er ist ein freundlicher und aufmerksamer Kellner.	"Auf was bezieht sich das ""Er"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Gast"""	0
ID_100097	Den Fachmann will der Kunde aufsuchen. Er ist	Er ist von einem Auto angefahren worden.	"Auf was bezieht sich das ""Er"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Verletzten"""	0
ID_100139	Der Wachmann will den Angestellten retten. Der ist	Der ist in einem brennenden Gebäude gefangen.	"Auf was bezieht sich das ""Der"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Angestellten"""	1
ID_100103	Den Geschäftsmann will der Steuerberater warnen. Er ist	Er ist in eine Steuerfalle getappt.	"Auf was bezieht sich das ""Er"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Geschäftsmann"""	1
ID_100013	Den Abenteurer soll der Journalist fotografieren. Der hat	einen mysteriösen Schatz gefunden.	"Auf was bezieht sich das ""Der"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Abenteurer"""	1
ID_100187	Der Arzt will den Patienten untersuchen. Er hat	Er hat eine Grippe.	"Auf was bezieht sich das ""Er"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Patienten"""	1
ID_100043	Den Politiker will der Künstler zeichnen. Dieser ist	Dieser ist für seine Reden bekannt.	"Auf was bezieht sich das ""Dieser"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Politiker"""	1
ID_100055	Den Dieb soll der Verkäufer anzeigen. Dieser ist	Dieser ist in das Geschäft eingebrochen.	"Auf was bezieht sich das ""Dieser"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Verkäufer"""	0
ID_100175	Der Bodyguard will den Star verstecken. Dieser hat	Dieser hat eine wichtige Verabredung.	"Auf was bezieht sich das ""Dieser"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Star"""	1
ID_100007	Den Koch soll der Ober loben. Der hat	Der hat das Essen zubereitet.	"Auf was bezieht sich das ""Der"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Koch"""	1
ID_100199	Der Manager soll den Bewerber einstellen. Er hat	Er hat die besten Qualifikationen für den Job.	"Auf was bezieht sich das ""Er"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Bewerber"""	1
ID_100091	Den Besucher will der Abiturient erschrecken. Er ist	Er ist mit einem gruseligen Kostüm verkleidet.	"Auf was bezieht sich das ""Er"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Besucher"""	0
