ID_100275	Den Koch soll der Ober loben. Dieser hat	Dieser hat heute besonders leckeres Essen zubereitet.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	"Dieser" bezieht sich auf den Koch.
ID_100265	Den Raser will der Polizist prüfen. Dieser hat	Den Raser will der Polizist prüfen. Dieser hat das Gesetz gebrochen.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	In dem Satz bezieht sich "Dieser" auf den Raser.
ID_100335	Der Student will den Dozenten treffen. Der hat	Der Student will den Dozenten treffen. Der Dozent hat heute einen Vortrag.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	In dem Satz "Der Student will den Dozenten treffen. Der Dozent hat heute einen Vortrag." bezieht sich "Der" auf den Dozenten.
ID_100345	Der Mieter will den Maler bezahlen. Dieser ist	Dieser ist mit dem Malen des Apartments zufrieden und bereit, die Rechnung zu erhalten.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	In dem Satz bezieht sich "Dieser" auf den Maler.
ID_100315	Der Regisseur will den Schauspieler unterstützen. Der hat	Der Schauspieler hat eine schwere Rolle zu meistern, die ihn physisch und emotional stark mitnimmt.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Das "Der" bezieht sich auf "Schauspieler".
ID_100350	Der Bäckermeister will den Unruhestifter melden. Dieser ist	Dieser ist ein wiederholt betrunkener Mitarbeiter, der die Arbeitsdisziplin gefährdet.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Das "Dieser" bezieht sich auf den "Unruhestifter", also den wiederholt betrunkenen Mitarbeiter.
ID_100365	Der Pförtner soll den Hausmeister benachrichtigen. Dieser ist	Dieser ist momentan nicht anwesend. Der Pförtner sollte daher eine Nachricht hinterlassen oder versuchen, ihn später zu erreichen.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	In dem Satz bezieht sich "dieser" auf den Hausmeister.
ID_100285	Den Klassensprecher will der Lehrer loben. Er hat	Den Klassensprecher will der Lehrer loben. Er hat die Klasse ausgezeichnet im Unterricht und in der Schule gefördert.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Das "Er" bezieht sich auf den Klassensprecher.
ID_100305	Den Star will der Bodyguard verstecken. Er hat	Es scheint, dass der Satz unvollständig ist. Könnte es sein, dass du den Rest des Satzes fortsetzen möchtest? Hier ist ein Vorschlag:	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	In dem unvollständigen Satz "Den Star will der Bodyguard verstecken. Er hat..." bezieht sich "Er" höchstwahrscheinlich auf den Bodyguard, da dieser die Handlung (das Verstecken) durchführt. Allerdings hängt die spezifische
ID_100245	Den Anfänger will der Fahrer überholen. Der ist	Der Anfänger ist sehr langsam gefahren.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Das "Der" bezieht sich auf den Anfänger.
ID_100240	Den Geschäftsmann will der Steuerberater warnen. Der ist	Der Geschäftsmann will der Steuerberater warnen, da der Geschäftsmann möglicherweise eine steuerliche Fehlinterpretation hat. Der ist in Schwierigkeiten oder es gibt einen Fehler in seinen Finanzen, den der Steuerberater aufgeklärt hat	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Das "Der" bezieht sich auf den Geschäftsmann.
