ID_102157	Dem Jäger ist der Hirsch aufgefallen. Dieser wollte	Der Hirsch wollte fliehen.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf "Hirsch"
ID_101705	Der Jogger ist dem Dieb entgangen. Der ist	Der ist von einem Auto angefahren worden.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Jogger"
ID_103085	Der Student hat dem Professor gefallen. Er hatte	Er hatte eine gute Idee.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Student"
ID_102341	Dem Leser ist der Autor aufgefallen. Der konnte	Der Verletzte ist von einem Auto angefahren worden.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Der Verletzte ist von einem Auto angefahren worden.
ID_103661	Der Fußballspieler hat dem Trainer imponiert. Er konnte	Er konnte den Ball perfekt ins Tor schießen.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Fußballspieler"
ID_103129	Dem Papst hat der Pilger gefallen. Er war	Er war von dem Geschenk des Papstes begeistert.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Papst"
ID_102509	Der Brandstifter ist dem Feuerwehrmann aufgefallen. Er hatte	Er hatte ein Feuer gelegt.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf den Brandstifter.
ID_102293	Der Schüler ist dem Lehrer aufgefallen. Der hatte	Der Schüler ist dem Lehrer aufgefallen, weil er in der Klasse geschlafen hatte.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Lehrer"
ID_102905	Dem Zuhörer hat der Sänger gefallen. Der ist	Der Sänger hat dem Zuhörer gefallen.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Sänger"
ID_103133	Dem Papst hat der Pilger gefallen. Er war	Er war von dem Geschenk des Papstes begeistert.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Papst"
ID_102913	Dem Zuhörer hat der Sänger gefallen. Der ist	Der Sänger hat dem Zuhörer gefallen.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Sänger"
ID_102517	Der Brandstifter ist dem Feuerwehrmann aufgefallen. Er hatte	Er hatte ein Feuer gelegt.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf den Brandstifter.
ID_101753	Dem Kunden hat der Handwerker behagt. Der wollte	Der Kunde hat dem Handwerker gefallen. Der Handwerker wollte den Kunden zufriedenstellen und ihm einen guten Service bieten.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Das "Der" bezieht sich auf den Handwerker.
ID_102285	Der Schüler ist dem Lehrer aufgefallen. Der hatte	Der Schüler ist dem Lehrer aufgefallen, weil er in der Klasse geschlafen hatte.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Lehrer"
ID_102109	Der Bewerber hat dem Chef behagt. Dieser war	Dieser war mit der Leistung des Bewerbers zufrieden.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf den Chef.
ID_101985	Dem Zuhörer hat der Musiker behagt. Er konnte	Er konnte die Melodie gut mitsingen.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Musiker"
ID_102865	Der Tourist hat dem Hotelier missfallen. Der war	Der Tourist hat dem Hotelier missfallen. Der war von einem Auto angefahren worden.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Tourist"
ID_101577	Dem Türsteher ist der Eindringling entgangen. Dieser hatte	Dieser hatte versucht, sich Zugang zur Diskothek zu verschaffen.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf den Eindringling.
ID_101541	Der Hase ist dem Hund entgangen. Dieser ist	Der Hase ist dem Hund entgangen. Dieser ist von einem Auto angefahren worden.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf "Hund"
ID_102281	Der Schüler ist dem Lehrer aufgefallen. Der hatte	Der Schüler ist dem Lehrer aufgefallen, weil er in der Klasse geschlafen hatte.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Lehrer"
ID_101761	Dem Kunden hat der Handwerker behagt. Der wollte	Der Kunde hat dem Handwerker gefallen. Der Handwerker wollte den Kunden zufriedenstellen und ihm einen guten Service bieten.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Das "Der" bezieht sich auf den Handwerker.
ID_103317	Dem Journalisten hat der Politiker imponiert. Dieser wollte	Dieser wollte, dass der Journalist seine politischen Ansichten versteht und unterstützt.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	"Dieser" bezieht sich auf den Politiker.
ID_102909	Dem Zuhörer hat der Sänger gefallen. Der ist	Der Sänger hat dem Zuhörer gefallen.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Sänger"
ID_102289	Der Schüler ist dem Lehrer aufgefallen. Der hatte	Der Schüler ist dem Lehrer aufgefallen, weil er in der Klasse geschlafen hatte.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Lehrer"
ID_103493	Dem König hat der Ritter imponiert. Der hat	Der König hat dem Ritter imponiert.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "König"
ID_101533	Der Hase ist dem Hund entgangen. Dieser ist	Der Hase ist dem Hund entgangen. Dieser ist von einem Auto angefahren worden.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf "Hund"
ID_102117	Der Bewerber hat dem Chef behagt. Dieser war	Dieser war mit der Leistung des Bewerbers zufrieden.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf den Chef.
ID_101413	Dem Polizisten ist der Bankräuber entgangen. Er hat	Er hat sich in einem anderen Teil des Gebäudes versteckt.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Bankräuber"
ID_101537	Der Hase ist dem Hund entgangen. Dieser ist	Der Hase ist dem Hund entgangen. Dieser ist von einem Auto angefahren worden.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf "Hund"
ID_102729	Dem Butler hat der Gärtner missfallen. Dieser durfte	Dieser durfte nicht in den Garten.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf "Gärtner"
ID_103269	Der Schmied hat dem Reiter gefallen. Dieser konnte	Dieser konnte den Schmied nicht mehr retten.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf den Reiter.
ID_103669	Der Fußballspieler hat dem Trainer imponiert. Er konnte	Er konnte den Ball perfekt ins Tor schießen.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Fußballspieler"
ID_101929	Der Reisende hat dem Piloten behagt. Er war	Der Reisende hat dem Piloten gefallen. Er war von seiner Flugfertigkeit beeindruckt.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Reisende"
ID_101709	Der Jogger ist dem Dieb entgangen. Der ist	Der ist von einem Auto angefahren worden.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Jogger"
ID_101941	Der Reisende hat dem Piloten behagt. Er war	Der Reisende hat dem Piloten gefallen. Er war von seiner Flugfertigkeit beeindruckt.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Reisende"
ID_101405	Dem Polizisten ist der Bankräuber entgangen. Er hat	Er hat sich in einem anderen Teil des Gebäudes versteckt.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Bankräuber"
ID_103441	Der Arzt hat dem Patienten imponiert. Der ist	Der Arzt hat den Patienten beeindruckt. Der Patient ist von der medizinischen Fähigkeit und dem Fachwissen des Arztes überzeugt oder zufrieden mit seiner Behandlung.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Arzt"
ID_101585	Dem Türsteher ist der Eindringling entgangen. Dieser hatte	Dieser hatte versucht, sich Zugang zur Diskothek zu verschaffen.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf den Eindringling.
ID_101529	Der Hase ist dem Hund entgangen. Dieser ist	Der Hase ist dem Hund entgangen. Dieser ist von einem Auto angefahren worden.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf "Hund"
ID_101933	Der Reisende hat dem Piloten behagt. Er war	Der Reisende hat dem Piloten gefallen. Er war von seiner Flugfertigkeit beeindruckt.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Reisende"
ID_102917	Dem Zuhörer hat der Sänger gefallen. Der ist	Der Sänger hat dem Zuhörer gefallen.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Sänger"
ID_102693	Der Autofahrer hat dem Polizisten missfallen. Dieser war	Der Autofahrer hat dem Polizisten missfallen. Dieser war von der Sanitäterin angefahren worden.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	"Dieser" bezieht sich auf den Polizisten.
ID_102329	Dem Leser ist der Autor aufgefallen. Der konnte	Der Verletzte ist von einem Auto angefahren worden.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Der Verletzte ist von einem Auto angefahren worden.
ID_101757	Dem Kunden hat der Handwerker behagt. Der wollte	Der Kunde hat dem Handwerker gefallen. Der Handwerker wollte den Kunden zufriedenstellen und ihm einen guten Service bieten.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Das "Der" bezieht sich auf den Handwerker.
ID_101713	Der Jogger ist dem Dieb entgangen. Der ist	Der ist von einem Auto angefahren worden.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Jogger"
ID_103093	Der Student hat dem Professor gefallen. Er hatte	Er hatte eine gute Idee.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Student"
ID_101581	Dem Türsteher ist der Eindringling entgangen. Dieser hatte	Dieser hatte versucht, sich Zugang zur Diskothek zu verschaffen.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf den Eindringling.
ID_102153	Dem Jäger ist der Hirsch aufgefallen. Dieser wollte	Der Hirsch wollte fliehen.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf "Hirsch"
ID_102689	Der Autofahrer hat dem Polizisten missfallen. Dieser war	Der Autofahrer hat dem Polizisten missfallen. Dieser war von der Sanitäterin angefahren worden.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	"Dieser" bezieht sich auf den Polizisten.
