ID_100024	Den Raser will der Polizist prüfen. Der hat	Den Raser will der Polizist prüfen. Der hat ohne Helm gefahren.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Im von Ihnen angegebenen Satz bezieht sich "Der" auf den Raser.
ID_100036	Den Clown will der Komödiant einladen. Der hat	Den Clown will der Komödiant einladen. Der Clown hat bereits andere Einladungen erhalten.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Im von Ihnen ergänzten Satz bezieht sich "Der" auf "Clown".
ID_100108	Den Geschäftsmann will der Steuerberater warnen. Er ist	Er ist in Gefahr, wichtige Deadlines des Steuerrecht zu verpassen.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Im von Ihnen gestellten Satz bezieht sich das "Er" auf den Geschäftsmann.
ID_100018	Den Abenteurer soll der Journalist fotografieren. Der hat	Den Abenteurer soll der Journalist fotografieren. Der (Abenteurer) hat gerade einen Höhenflug mit einem Ballon gemacht.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Das "Der" bezieht sich auf "Abenteurer".
ID_100072	Den Angeklagten will der Anwalt kontrollieren. Dieser ist	Dieser (der Angeklagte) ist vor Gericht.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Das "Dieser" bezieht sich auf den "Angeklagten".
ID_100114	Der Soldat will den Kameraden überraschen. Der ist	Der Soldat will den Kameraden überraschen. Der Kamerade ist verreist.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Das "Der" in dem Satz bezieht sich auf "Kamerade".
ID_100180	Der Bodyguard will den Star verstecken. Dieser hat	Der Bodyguard will den Star verstecken. Der Star hat sich in ein Restaurant getrauert, ohne dass die Paparazzi es bemerkt haben, aber nun sind sie dort eingetroffen.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Das "Dieser" bezieht sich auf "den Star".
ID_100060	Den Dieb soll der Verkäufer anzeigen. Dieser ist	Dieser (Der Dieb) ist mit einem gestohlenen Artikel erwischt worden.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Das "Dieser" bezieht sich auf den Dieb.
ID_100054	Den Ordnungshüter soll der Passant informieren. Dieser ist	Dieser Passant hat den Vorfall gesehen und ist bereit, die Polizei oder einen Ordnungshüter zu informieren.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Das "Dieser" bezieht sich auf den Passanten.
ID_100192	Der Arzt will den Patienten untersuchen. Er hat	Der Arzt will den Patienten untersuchen. Der Patient hat vorher einen Unfall gehabt.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	In dem Satz "Der Arzt will den Patienten untersuchen. Der Patient hat vorher einen Unfall gehabt.", bezieht sich das "Er" auf den Patienten.
ID_100042	Den Chef will der Sekretär stören. Dieser ist	Dieser (der Chef) ist gerade in einer wichtigen Besprechung.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Das "Dieser" bezieht sich auf "den Chef".
