ID_100638	Der Ober soll den Koch loben. Er hat	Er hat heute besonders leckeres Essen zubereitet.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Das "Er" bezieht sich auf den "Koch".
ID_100407	Den Opa soll der Pfleger baden. Der hat	Den Opa soll der Pfleger baden. Der hat sich vorhin beim Gehen verletzt.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Das "Der" bezieht sich auf "Opa".
ID_100449	Den Geschäftsmann will der Steuerberater warnen. Dieser ist	Dieser Geschäftsmann ist in Gefahr, unrechtmäßig_steuern zu zahlen oder seine Buchhaltung nicht korrekt zu führen. Möglicherweise hat der Steuerberater Hinweise auf mögliche Fehler oder Risiken identifiziert, die er korrigieren	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Das "Dieser" bezieht sich auf den Geschäftsmann.
ID_100582	Der Arzt will den Patienten untersuchen. Dieser hat	Der Arzt will den Patienten untersuchen. Dieser hat sich vorhin verwundet.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	In dem Satz bezieht sich "Dieser" auf den Patienten.
ID_100575	Der Vater will den Sohn küssen. Dieser hat	Der Vater will den Sohn küssen. Dieser hat gerade ein Eis verschüttet.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	In dem Satz bezieht sich "Dieser" auf den Sohn.
ID_100505	Den Unruhestifter will der Bäckermeister melden. Er ist	Es klingt so, als wartet man auf die Beschreibung des Unruhestifters. Könnten Sie bitte den Satz vervollständigen oder weitere Informationen hinzufügen?	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Im Satz "Den Unruhestifter will der Bäckermeister melden. Er ist..." bezieht sich "Er" auf den Unruhestifter. Ohne weitere Kontextinformationen kann ich aber nicht sagen, was "Er ist" weiter spezifizieren soll.
ID_100554	Der Verkäufer soll den Dieb anzeigen. Der ist	Der Verkäufer soll den Dieb anzeigen. Der Dieb ist entwischt, bevor die Polizei eintraf.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Das "Der" bezieht sich auf "Dieb".
ID_100540	Der Busfahrer will den Reiseleiter wecken. Der ist	Der Reiseleiter ist offensichtlich eingeschlafen und der Busfahrer möchte ihn wecken. Ohne weitere Kontextinformationen kann ich nicht genau sagen, warum der Reiseleiter schläft (z.B. ist er müde oder krank). Kann ich Ihnen mit	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Das "Der" bezieht sich auf den "Reiseleiter".
ID_100526	Der Anwalt will den Angeklagten kontrollieren. Der ist	Der Angeklagte ist in ein Verbrechen verwickelt. Allerdings, könnte es auch sein, dass der Anwalt den Angeklagten einfach nur über seine Aktivitäten im Auge behält oder ob dieser die ihm gegebenen Strategien befolgt. Ohne weitere Kont	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	In dem Satz "Der Angeklagte ist in ein Verbrechen verwickelt" bezieht sich "Der" auf "Angeklagten".
ID_100512	Den Verletzten muss der Sanitäter tragen. Er ist	Er ist von einem Unfall betroffen oder von einem Auto angefahren worden. In beiden Fällen bezieht sich "Er" auf den Verletzten.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	In dem Satz "Den Verletzten muss der Sanitäter tragen. Er ist von einem Auto angefahren worden." bezieht sich "Er" auf den Verletzten.
ID_100561	Der Künstler will den Politiker zeichnen. Der ist	Der Künstler will den Politiker zeichnen. Der Politiker ist gerade nicht verfügbar, also muss der Künstler vielleicht ein Foto des Politikers verwenden. Könnten Sie bitte mehr Details geben, auf welche Eigenschaften oder Zustände sich das "ist" beziehen soll?	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	In dem Satz "Der Künstler will den Politiker zeichnen. Der ist..." bezieht sich "Der" auf den Politiker.
