	Value
MISTRALNEMO_12b_t00_comp_Antecedens	-5642.06618950807
MISTRALNEMO_12b_t02_comp_Antecedens	-5422.14258877858
MISTRALNEMO_12b_t05_comp_Antecedens	-4786.74708015905
Ministral_8b_t05_comp_Antecedens	-4124.91981788921
QWEN2.5_14b_t05_comp_Antecedens	-4026.35703475287
QWEN2.5_14b_t02_comp_Antecedens	-1771.47349926656
ML3.1_8b_t05_comp_Antecedens	-1509.17481590118
SKv2_14b_t02_comp_Antecedens	-1425.36934615525
Ministral_8b_t00_comp_Antecedens	-1252.14996316187
QWEN2.5_14b_t00_comp_Antecedens	-1236.02690530354
Ministral_8b_t02_comp_Antecedens	-1064.28176677701
ML3.1_8b_t02_comp_Antecedens	-1047.94671210471
SKv2_14b_t00_comp_Antecedens	-915.186466184132
PHI3_14b_t02_comp_Antecedens	-612.612103552198
SKv2_14b_t05_comp_Antecedens	-572.222033664327
SKGEMMA2_9b_t00_comp_Antecedens	-349.645206494978
ML3.1_8b_t00_comp_Antecedens	-277.160028454876
PHI3_14b_t05_comp_Antecedens	-265.666333053645
GPT4_t05_comp_Antecedens	-232.975947337049
KFK3_8b_t05_comp_Antecedens	-65.5814634692335
PHI3_14b_t00_comp_Antecedens	-46.5054107703924
KFK3_8b_t02_comp_Antecedens	28.1524672910189
SKGEMMA2_9b_t02_comp_Antecedens	76.8884773134735
KFK3_8b_t00_comp_Antecedens	90.3516140549876
MIX_8x7b_t05_comp_Antecedens	158.481851885524
GRAN_8b_t00_comp_Antecedens	170.452887268157
SKGEMMA2_9b_t05_comp_Antecedens	263.502232512523
MIX_8x7b_t02_comp_Antecedens	386.414186193517
MIX_8x7b_t00_comp_Antecedens	573.175739512346
GRAN_8b_t02_comp_Antecedens	611.306907740777
GRAN_8b_t05_comp_Antecedens	695.592598365813
ML3.2_3b_t05_comp_Antecedens	773.056141014346
ML3.2_3b_t02_comp_Antecedens	1309.45378228589
ML3.2_3b_t00_comp_Antecedens	1357.95692478122
