Column	NA_Count
SKv2_14b_t05_rtgs_Rating	211
SKv2_14b_t02_rtgs_Rating	109
PHI3_14b_t05_rtgs_Rating	97
ML3.1_8b_t05_rtgs_Rating	90
GRAN_8b_t05_rtgs_Rating	42
SKv2_14b_t00_rtgs_Rating	22
ML3.1_8b_t00_rtgs_Rating	14
ML3.1_8b_t02_rtgs_Rating	12
KFK3_8b_t05_rtgs_Rating	6
SKGEMMA2_9b_t05_rtgs_Rating	4
Human_Rating	0
GEMMA2_9b_t00_rtgs_Rating	0
GEMMA2_9b_t02_rtgs_Rating	0
GEMMA2_9b_t05_rtgs_Rating	0
GPT4_t05_rtgs_Rating	0
GRAN_8b_t00_rtgs_Rating	0
GRAN_8b_t02_rtgs_Rating	0
GRAN_MoE_3b_t00_rtgs_Rating	0
GRAN_MoE_3b_t02_rtgs_Rating	0
GRAN_MoE_3b_t05_rtgs_Rating	0
KFK3_8b_t00_rtgs_Rating	0
KFK3_8b_t02_rtgs_Rating	0
MIX_8x7b_t00_rtgs_Rating	0
MIX_8x7b_t02_rtgs_Rating	0
MIX_8x7b_t05_rtgs_Rating	0
OC3.6_8b_t00_rtgs_Rating	0
OC3.6_8b_t02_rtgs_Rating	0
OC3.6_8b_t05_rtgs_Rating	0
PHI3_14b_t00_rtgs_Rating	0
PHI3_14b_t02_rtgs_Rating	0
SKGEMMA2_9b_t00_rtgs_Rating	0
SKGEMMA2_9b_t02_rtgs_Rating	0
