ID_101203	Den Angeklagten will der Anwalt kontrollieren. Der ist
ID_101333	Der Steuerberater will den Geschäftsmann warnen. Dieser ist
ID_101268	Den Clown will der Komödiant einladen. Er hat
ID_101358	Der Wachmann will den Angestellten retten. Er ist
ID_101248	Den Jungen will der Babysitter tadeln. Dieser hat
ID_101368	Der Mieter will den Maler bezahlen. Er ist
ID_101288	Der Auszubildende soll den Buchhalter sehen. Der hat
ID_101233	Den Bewerber soll der Manager einstellen. Dieser hat
ID_101363	Der Bäckermeister will den Unruhestifter melden. Er ist
ID_101278	Den Professor soll der Doktorand vertreten. Er hat
ID_101198	Den Ordnungshüter soll der Passant informieren. Der ist
ID_101313	Der Fahrer will den Anfänger überholen. Dieser ist
ID_101243	Den Patienten will der Arzt untersuchen. Dieser ist
ID_101323	Der Kunde will den Fachmann aufsuchen. Dieser ist
ID_101293	Der Vorgesetzte will den Assistenten suchen. Der hat
ID_101213	Den Politiker will der Künstler zeichnen. Der ist
ID_101298	Der Bodyguard will den Star verstecken. Der hat
ID_101308	Der Pfleger soll den Opa baden. Der hat
ID_101353	Der Soldat will den Kameraden überraschen. Er ist
ID_101208	Den Dieb soll der Verkäufer anzeigen. Der ist
ID_101273	Den Koch soll der Ober loben. Er hat
ID_101253	Den Abenteurer soll der Journalist fotografieren. Er hat
ID_101193	Den Reiseleiter will dern Busfahrer wecken. Der ist
ID_101348	Der Pförtner soll den Hausmeister benachrichtigen. Er ist
ID_101223	Den Dozenten will der Student treffen. Dieser hat
ID_101238	Den Sohn will der Vater küssen. Dieser hat
ID_101258	Den Raser will der Polizist prüfen. Er hat
ID_101338	Der Abiturient will den Besucher erschrecken. Dieser ist
ID_101218	Den Chef will der Sekretär stören. Der ist
ID_101283	Der Lehrer will den Klassensprecher loben. Der hat
ID_101343	Der Sanitäter muss den Verletzten tragen. Er ist
ID_101228	Den Schauspieler will der Regisseur unterstützen. Dieser hat
ID_101328	Der Samariter soll den Kranken pflegen. Dieser ist
ID_101303	Der Trainer will den Sieger ehren. Der hat
ID_101263	Den Direktor will der Schüler begrüßen. Er hat
ID_101318	Der Kellner soll den Gast bedienen. Dieser ist
