ID_107366	Die Kollegin führte dem Neuen die Prozedur. Dieser war sehr konzentriert.
ID_106966	Der Vater kaufte dem Sohn die Zuckerwatte. Diese schmeckte nach Erdbeeren.
ID_106753	Die Betrügerin raubte dem König die Krone. Dieser war leider unvorsichtig.
ID_107628	Der Lieferant reichte dem Floristen die Rechnung. Sie war ganz zerknittert.
ID_106356	Die Friseurin erzählte der Neukundin den Sonntagswitz. Dieser handelte von drei Waschbären und einem Anwalt.
ID_107070	Der Hotelmanager beschaffte dem Urlauber die Massage. Die war sogar ermäßigt.
ID_107949	Die Arbeitgeberin zeigte der Bewerberin den Arbeitsvertrag. Er war ohne Zweifel rechtsgültig.
ID_106872	Die Gastgeberin organisierte dem Redner die Hotelsuite. Der freute sich über die Einladung.
ID_106286	Der Klient überwies der Detektivin den Betrag. Die war bekanntlich sehr diskret.
ID_106813	Die Anwältin erklärte dem Mandanten die Beweislage. Er war nun perfekt vorbereitet.
ID_106507	Die Inhaberin bot dem Mitarbeiter den Umzugswagen. Diese wollte sich das Wochenende ohnehin frei nehmen.
ID_106226	Der Mitarbeiter nahm der Opernsängerin den Mantel. Sie fand das angemessen.
ID_107927	Die Studentin stahl der Dozentin den Laptop. Dieser war allerdings ohnehin defekt.
ID_107169	Die Tante leitete dem Neffen den Videoclip. Sie mochte witzige Katzenvideos.
ID_107850	Der Vermieter schickte der Mieterin den Mietvertrag. Die hat nämlich vergessen, zu unterschreiben.
ID_105882	Die Künstlerin vererbte der Musikerin den Besitz. Der bestand aus Geldwerten und Grundstücken.
ID_106677	Der Therapeut gewöhnte der Patientin die Marotte. Der war sehr bemüht.
ID_105953	Die Archäologin präsentierte dem Museumsdirektor den Fund. Diese war sehr aufgeregt.
ID_107224	Der Chirurg besorgte der Ärztin die Stelle. Er hatte nämlich nützliche Kontakte.
ID_106164	Der Unternehmer stellte der Bankangestellten den Kostenplan. Diese war dabei sehr konzentriert.
ID_107285	Der Dieb entwendete der Touristin die Handtasche. Der war dabei sehr aggressiv.
ID_106629	Der Eigentümer vermietete der Anwohnerin die Parkfläche. Er war froh über den langfristigen Vertrag.
ID_106085	Die Käuferin schuldete dem Händler den Kaufpreis. Die war telefonisch nicht erreichbar.
ID_106426	Die Krankenpflegerin wusch der Patientin den Rücken. Er war etwas schuppig.
ID_107565	Der Chef garantierte dem Angestellten die Gehaltserhöhung. Diese war längst überfällig.
ID_106025	Die Enkelin malte dem Großvater den Garten. Sie wurde erst am späten Abend langsam müde.
ID_107631	Die Türsteherin verweigerte dem Besucher den Zutritt. Die war etwas unhöflich.
ID_106555	Der Schüler zeigte der Sitznachbarin die Formel. Dieser war schon immer sehr nett.
ID_107789	Der Wächter hat der Schwägerin den Geheimcode. Sie war glücklicherweise schon betrunken.
ID_107715	Der Verkäufer lieh der Interessentin den Autoschlüssel. Diese war voller Hoffnung.
ID_105941	Die Teenagerin verkaufte der Freundin den Ausweis. Der war gefälscht.
ID_107029	Der Lieferant baute dem Kunden die Kommode. Sie war sehr geräumig.
ID_107430	Die Schneiderin nähte dem Klienten die Jacke. Er investierte viel Geld.
ID_106475	Der Autor widmete dem Verlobten die Novelle. Die war ein Verkaufshit.
ID_107471	Die Regisseurin empfahl dem Schauspieler die Fernsehserie. Der sah gern Komödien.
ID_107090	Der Lehrer kündigte der Rektorin die Pensionierung. Dieser war dabei etwas traurig.
