ID_105847	Die Künstlerin vererbte dem Musiker den Besitz. Sie/die/diese war sehr reich.
ID_107802	Die Wächterin hat der Schwägerin den Geheimcode. Er/der/dieser war allerdings lang und schwer zu merken.
ID_106704	Die Therapeutin gewöhnte dem Patienten die Marotte. Er/der/dieser war sehr dankbar.
ID_106105	Der Käufer schuldete der Händlerin den Kaufpreis. Sie/die/diese war telefonisch nicht erreichbar.
ID_106562	Der Schüler zeigte der Sitznachbarin die Formel. Er/der/dieser war schon immer sehr nett.
ID_106764	Die Betrügerin raubte dem König die Krone. Er/der/dieser war leider unvorsichtig.
ID_107173	Der Onkel leitete der Nichte den Videoclip. Sie/die/diese mochte witzige Katzenvideos.
ID_107869	Die Vermieterin schickte der Mieterin den Mietvertrag. Er/der/dieser war präzise formuliert.
ID_106443	Der Autor widmete der Verlobten die Novelle. Er/der/dieser war nämlich sehr dankbar.
ID_106908	Der Gastgeber organisierte dem Redner die Hotelsuite. Sie/die/diese war frisch renoviert.
ID_107109	Der Lehrer kündigte der Rektorin die Pensionierung. Er/der/dieser war dabei etwas traurig.
ID_106976	Der Lieferant baute der Kundin die Kommode. Er/der/dieser war dabei etwas ungeschickt.
ID_107497	Der Regisseur empfahl dem Schauspieler die Fernsehserie. Sie/die/diese handelte von einer lustigen Verwechslung.
ID_105957	Die Archäologin präsentierte dem Museumsdirektor den Fund. Sie/die/diese war sehr aufgeregt.
ID_106240	Die Mitarbeiterin nahm der Opernsängerin den Mantel. Er/der/dieser war erfreulicherweise aus Kunstpelz.
ID_106494	Die Inhaberin bot dem Mitarbeiter den Umzugswagen. Sie/die/diese wollte sich das Wochenende ohnehin frei nehmen.
ID_106366	Die Friseurin erzählte der Neukundin den Sonntagswitz. Er/der/dieser handelte von drei Waschbären und einem Anwalt.
ID_107585	Der Lieferant reichte der Floristin die Rechnung. Er/der/dieser war sehr gutaussehend.
ID_107652	Der Türsteher verweigerte der Besucherin den Zutritt. Sie/die/diese war etwas unhöflich.
ID_106370	Die Krankenpflegerin wusch dem Patienten den Rücken. Sie/die/diese kannte die Routine mittlerweile.
ID_106039	Der Enkel malte der Großmutter den Garten. Sie/die/diese wurde schon am frühen Abend langsam müde.
ID_106158	Der Unternehmer stellte der Bankangestellten den Kostenplan. Sie/die/diese war dabei sehr konzentriert.
ID_107032	Der Hotelmanager beschaffte der Urlauberin die Massage. Er/der/dieser machte danach einen gestressten Eindruck.
ID_107233	Die Chirurgin besorgte dem Arzt die Stelle. Er/der/dieser brachte nützliche Kontakte mit.
ID_107293	Die Diebin entwendete dem Touristen die Handtasche. Er/der/dieser war danach sehr aggressiv.
ID_107910	Die Studentin stahl der Dozentin den Laptop. Er/der/dieser war allerdings ohnehin defekt.
ID_107728	Der Verkäufer lieh der Interessentin den Autoschlüssel. Sie/die/diese war voller Hoffnung.
ID_106308	Die Klientin überwies der Detektivin den Betrag. Sie/die/diese war großzügig aufgerundet.
ID_105898	Die Teenagerin verkaufte dem Freund den Ausweis. Sie/die/diese war bereits vorbestraft.
ID_106634	Die Eigentümerin vermietete dem Anwohner die Parkfläche. Er/der/dieser war froh über den langfristigen Vertrag.
ID_106841	Der Anwalt erklärte dem Mandanten die Beweislage. Sie/die/diese war uneindeutig.
ID_107941	Die Arbeitgeberin zeigte dem Bewerber den Arbeitsvertrag. Sie/die/diese wirkte dabei sehr sympathisch.
ID_107357	Die Kollegin führte dem Neuen die Prozedur. Er/der/dieser war sehr konzentriert.
ID_107564	Der Chef garantierte dem Angestellten die Gehaltserhöhung. Sie/die/diese war längst überfällig.
ID_107445	Der Schneider nähte dem Klienten die Jacke. Sie/die/diese fiel größer aus als gewollt.
ID_106964	Der Vater kaufte dem Sohn die Zuckerwatte. Sie/die/diese schmeckte nach Erdbeeren.
