ID_107443	Der Schneider nähte dem Klienten die Jacke. Die fiel größer aus als gewollt. \nWie klingt der Text? (1=sehr seltsam, 7=perfekt)	Der Text klingt recht seltsam, da die Verwendung von "fielen" im Singular und "aus" im Plural nicht korrekt ist. Hier ist eine korrigierte Version:
ID_107388	Der Kollege führte dem Neuen die Prozedur. Sie war ziemlich komplex. \nWie klingt der Text? (1=sehr seltsam, 7=perfekt)	Der Text klingt recht seltsam. Es könnte besser formuliert werden, indem man die Satzstellung und die Wortwahl anpasst. Hier ist eine überarbeitete Version:
ID_106250	Die Klientin überwies dem Detektiv den Betrag. Diese war dabei sehr diskret. \nWie klingt der Text? (1=sehr seltsam, 7=perfekt)	Der Text klingt seltsam. Es fehlt die Verbindung zwischen dem Detektiv und der Klientin. Es könnte besser formuliert werden, indem man klarstellt, dass die Klientin dem Detektiv den Betrag überwies. Zum Beispiel:
ID_106774	Der Betrüger raubte dem König die Krone. Sie war unfassbar wertvoll. \nWie klingt der Text? (1=sehr seltsam, 7=perfekt)	Der Text klingt recht seltsam. Es gibt einige grammatikalische und stilistische Fehler:
ID_106325	Die Friseurin erzählte dem Neukunden den Sonntagswitz. Sie konnte dabei nicht aufhören, zu lachen. \nWie klingt der Text? (1=sehr seltsam, 7=perfekt)	5
ID_107828	Die Vermieterin schickte dem Mieter den Mietvertrag. Diese hat aber vergessen, zu unterschreiben. \nWie klingt der Text? (1=sehr seltsam, 7=perfekt)	Der Text klingt seltsam. Es wäre besser, "Diese hat" durch "Dieser hat" zu ersetzen, da "Mietvertrag" maskulin ist. Hier ist die korrigierte Version:
ID_106846	Der Anwalt erklärte dem Mandanten die Beweislage. Die war uneindeutig. \nWie klingt der Text? (1=sehr seltsam, 7=perfekt)	Der Text klingt etwas seltsam, da die Formulierung "die war uneindeutig" nicht ganz korrekt ist. Es sollte "Die Beweislage war uneindeutig" heißen. Hier ist die korrigierte Version:
ID_107875	Die Studentin stahl dem Dozenten den Laptop. Sie hatte nämlich ernste Schwierigkeiten. \nWie klingt der Text? (1=sehr seltsam, 7=perfekt)	Der Text klingt recht seltsam. Es gibt einige grammatikalische und stilistische Fehler, die den Text unnatürlich erscheinen lassen. Hier ist eine überarbeitete Version:
ID_107454	Der Regisseur empfahl der Schauspielerin die Fernsehserie. Dieser sah gern Komödien. \nWie klingt der Text? (1=sehr seltsam, 7=perfekt)	Der Text klingt relativ seltsam. Hier ist eine überarbeitete Version:
ID_105867	Der Künstler vererbte der Musikerin den Besitz. Diese war jetzt sehr reich. \nWie klingt der Text? (1=sehr seltsam, 7=perfekt)	Der Text klingt sehr seltsam. Es gibt einige grammatikalische und stilistische Fehler, die den Text unnatürlich erscheinen lassen. Hier ist eine überarbeitete Version:
